episode,total_reward
147,-26.957878170459892
148,-29.39339044310644
149,-17.83406638647356
150,-21.95583789861487
151,-34.595097781883275
152,-31.82749989750215
153,-24.60265247821705
154,-34.15706928346233
155,-25.39620161773248
156,-26.063384387196443
157,-17.20132871676479
158,-15.625851053735506
159,-34.89620761305829
160,-25.98661277407775
161,-23.640140442752514
162,-31.01257531147154
163,-33.773035643121915
164,-22.9937205001291
165,-21.132556392385627
166,-16.85304077833149
167,-28.904163939689077
168,-21.260707145259065
169,-31.243342879812317
170,-14.525422585762259
171,-29.734654078488724
172,-15.367315372895781
173,-24.45720290753654
174,-14.417135570699818
175,-22.053462227478363
176,-28.417949245939322
177,-33.67735678196788
178,-33.12827116150302
179,-20.2584735786785
180,-24.82914852335303
181,-17.594553100512478
182,-14.620772068801298
183,-32.45992122787682
184,-14.925545379012936
185,-20.74402027384658
186,-23.568503908907573
187,-28.120497389890666
188,-24.66453632994856
189,-20.103666753899994
190,-13.44266056536825
191,-16.546571808785174
192,-22.44870381401899
193,-29.879365262984265
194,-26.81291681098784
195,-22.392885119922838
196,-24.14303846782415
197,-32.16107452284195
198,-12.533209385347629
199,-14.157436960356915
200,-14.993937970083778
201,-33.541500310958206
202,-33.7503847023996
203,-13.781143889559221
204,-19.126092021352566
205,-13.191110742254839
206,-32.832484306565114
207,-26.29310723372248
208,-14.36490303394817
209,-26.691169872027892
210,-16.25538606055242
211,-23.682460894593792
212,-19.75810664830118
213,-19.07585840045331
214,-20.85763782216903
215,-14.131032271157558
216,-19.336893210062335
217,-20.85593491468042
218,-27.501060244553273
219,-28.059532815359546
220,-20.144809755077883
221,-14.129377066712033
222,-33.18734610041549
223,-16.031419505333233
224,-18.22639049438071
225,-20.644387514282037
226,-15.328292384021587
227,-13.211050114579322
228,-18.42400729179
229,-26.824591696307756
230,-30.3024215971478
231,-25.45022655055123
232,-20.884730133153795
233,-33.27325372260518
234,-18.29865339035414
235,-29.372691583494372
236,-19.98562073921588
237,-30.559563178831258
238,-17.557338006260704
239,-17.75630194872197
240,-21.441965385031235
241,-32.06005636192981
242,-27.550957607720967
243,-23.077949650222088
244,-22.53532371296432
245,-13.801344281331515
246,-15.220841108417613
247,-14.82979560641349
248,-33.5789434150072
249,-14.276953795862838
250,-22.87101610414426
251,-26.394187632049373
252,-30.58376823196689
253,-31.129376608630007
254,-13.493585971450678
255,-33.863942437166095
256,-16.45154478178496
257,-15.207995161367784
258,-30.82449217825842
259,-27.80046044928913
260,-28.287325640709128
261,-26.63862757074028
262,-20.132267307904968
263,-33.18251534332006
264,-33.34797712180858
265,-16.598830980095872
266,-14.417459976276511
267,-35.71636098740726
268,-25.444195122362302
269,-14.750830547182229
270,-15.612752729942816
271,-13.713175635345959
272,-31.81092907964675
273,-16.927411869329223
274,-25.90820017278818
275,-21.407590940347735
276,-23.999118902525467
277,-24.791875035371902
278,-26.248677120694573
279,-24.667571572118483
280,-34.0253429025425
281,-13.44259052635955
282,-22.590939452833332
283,-32.902467976670124
284,-33.00858181771101
285,-17.940655811445204
286,-34.42672502351718
287,-34.672333217402006
288,-21.84178301382621
289,-34.503216949562734
290,-30.66147778175969
291,-29.526827594911722
292,-23.357514410453085
293,-13.850425713864784
294,-13.723560069451032
295,-16.720473702324135
296,-22.171008862298976
297,-25.545450846709386
298,-22.32955218293788
299,-23.62355972778203
300,-22.339186779363292
301,-14.061977472297283
302,-25.36399941545709
303,-13.944631638047976
304,-18.104153206024453
305,-21.58275303596291
306,-16.112511913380455
307,-26.450048072206613
308,-32.99185055899674
309,-21.41612269993666
310,-16.477091065705864
311,-27.792127669535617
312,-32.12776540787617
313,-26.77869695972163
314,-21.44180400460793
315,-17.2783438152086
316,-21.59215728439663
317,-23.50970942549803
318,-31.83119438674677
319,-27.542059331948227
320,-31.28207683508391
321,-29.48260454180181
322,-24.977556191131754
323,-14.437084825905064
324,-12.81182950186598
325,-14.405403733592738
326,-20.32985101542068
327,-25.253601077874812
328,-15.337966497901432
329,-14.69712127089635
330,-31.46819893281263
331,-23.346784195420625
332,-15.107328753636448
333,-19.628545784336882
334,-26.338921895475604
335,-29.55307387491807
336,-14.325032505062543
337,-26.449388912052058
338,-29.34384634640962
339,-33.43870845463841
340,-28.875907458568612
341,-28.437318004335108
342,-19.986325830583464
343,-26.358148357303076
344,-28.21322786656298
345,-35.008622603566074
346,-14.414595798902928
347,-21.428828696965738
348,-26.42613384534588
349,-27.730796611816686
350,-12.507059055565062
351,-31.29532407962722
352,-18.800392003457496
353,-23.722211841920522
354,-29.17060671947889
355,-30.515542133011145
356,-17.174980069346176
357,-26.493393656318137
358,-12.819900291737124
359,-33.00697502426876
360,-24.61306682467582
361,-27.098635231638863
362,-20.294766322823143
363,-22.63332506128293
364,-33.52623674475786
365,-15.051954099509189
366,-15.506335044567532
367,-34.60885934218658
368,-23.031275363626307
369,-23.17253664493374
370,-12.892136207568026
371,-21.075154933108067
372,-29.036416255676308
373,-31.586776593489077
374,-30.67235266829195
375,-27.966014386092322
376,-15.508650072285626
377,-16.102768736349624
378,-34.46720349366491
379,-20.682837616690918
380,-31.67607067828386
381,-16.370750843328043
382,-19.264742645019027
383,-21.515886112716665
384,-21.3428256250452
385,-19.702767273833885
386,-22.08753219777565
387,-23.331995096966146
388,-33.39684226924694
389,-19.74952495432027
390,-26.98783700834292
391,-32.26753009431909
392,-23.977349482935264
393,-23.5793576717219
394,-12.21511385854162
395,-21.25026182539264
396,-15.760058196758374
397,-33.15859730794996
398,-16.59222026206456
399,-16.732169034008226
400,-16.374011059035492
401,-26.720768057510284
402,-17.503573111042293
403,-15.497392402057606
404,-26.745280509450424
405,-30.425970962998594
406,-34.3247336926098
407,-17.776574200689495
408,-15.140659683773862
409,-22.91310955682824
410,-17.685072250645327
411,-26.269263341443256
412,-21.97577012915317
413,-14.248683096463324
414,-14.916758216874305
415,-32.467200017006405
416,-15.399814039025305
417,-19.240482710495147
418,-18.115821513762874
419,-22.834030848175928
420,-23.001725786741797
421,-34.88419777951926
422,-33.249053887824594
423,-23.636241981399053
424,-20.030929343668706
425,-34.30234865947444
426,-17.40315914418745
427,-23.151856500680132
428,-32.13562781664731
429,-20.39862384339146
430,-17.143324790586213
431,-26.65040643592715
432,-19.758504149977583
433,-22.257599782721428
434,-25.873859083119818
435,-13.909898113224852
436,-23.38173729814041
437,-22.65022957365017
438,-24.161943157253482
439,-13.846270046444285
440,-15.15271244307876
441,-16.310376277993328
442,-13.54085375550645
443,-20.613598562403883
444,-32.04342245697988
445,-15.105543539778218
446,-24.789709184334242
