epoch,time_index,loss
31,13548,0.4067167639732361
65,13787,0.394386887550354
98,6563,0.29978421330451965
130,4615,0.38831374049186707
163,487,0.3791017532348633
198,25609,0.30450624227523804
230,3805,0.4199705719947815
263,19042,0.3481965661048889
295,2639,0.31060341000556946
328,26620,0.3056205213069916
360,4454,0.25841912627220154
392,23686,0.23650725185871124
424,19581,0.22355592250823975
456,19880,0.3258674144744873
488,1752,0.3138708174228668
521,15584,0.26198044419288635
556,12968,0.26708632707595825
589,24159,0.2914711534976959
621,23975,0.25499531626701355
655,25647,0.27094587683677673
687,3662,0.29703497886657715
719,24724,0.2265327125787735
752,23117,0.2070537507534027
784,4360,0.30520522594451904
816,15868,0.2288622111082077
850,13914,0.3001849949359894
882,4928,0.17153510451316833
914,9835,0.18247325718402863
946,20350,0.14918892085552216
978,16483,0.27471059560775757
1010,4894,0.18511907756328583
1042,4352,0.17522045969963074
1075,14803,0.147635817527771
1107,8329,0.2455618679523468
1139,24989,0.13639779388904572
1171,13965,0.19592052698135376
1203,19783,0.1426762193441391
1235,14642,0.18692582845687866
1267,8941,0.13002417981624603
1299,1397,0.1772719770669937
1331,19073,0.1472223550081253
1363,1274,0.16066578030586243
1396,10878,0.2776302099227905
1429,23135,0.19225859642028809
1461,19967,0.1663893759250641
1493,19556,0.23815970122814178
1525,27044,0.16323797404766083
