epoch,reward_sum,sgen_1,sgen_2,sgen_3,sgen_4,sgen_5,sgen_6,sgen_7,sgen_8,sgen_9,sgen_10,sgen_11,sgen_12,sgen_13,sgen_14,sgen_15,sgen_16,sgen_17,sgen_18,sgen_19,sgen_20,sgen_21,sgen_22,sgen_23,sgen_24,sgen_25,sgen_26,sgen_27,sgen_28,sgen_29,sgen_30,sgen_31,sgen_32,sgen_33,sgen_34,sgen_35,sgen_36,sgen_37,sgen_38,sgen_39,sgen_40,sgen_41,sgen_42,sgen_43,sgen_44,sgen_45,sgen_46,sgen_47,sgen_48,sgen_49,sgen_50,sgen_51,sgen_52,sgen_53,sgen_54,sgen_55,sgen_56,sgen_57,sgen_58,sgen_59,sgen_60,sgen_61,sgen_62,sgen_63,sgen_64,sgen_65,sgen_66,sgen_67,sgen_68,sgen_69,sgen_70,sgen_71,sgen_72,sgen_73,sgen_74,sgen_75,sgen_76,sgen_77,sgen_78,sgen_79,sgen_80,sgen_81,sgen_82,sgen_83,sgen_84,sgen_85,sgen_86,sgen_87,sgen_88,sgen_89,sgen_90,sgen_91,sgen_92,sgen_93,sgen_94,sgen_95,sgen_96,sgen_97,sgen_98,sgen_99,sgen_100,sgen_101,sgen_102,sgen_103,sgen_104,sgen_105,sgen_106,sgen_107,sgen_108,sgen_109,sgen_110,sgen_111,sgen_112,sgen_113,sgen_114,sgen_115,sgen_116,sgen_117,sgen_118,sgen_119,sgen_120
0,-88858222.08224963,0.00875227689743042,0.0714860618505627,0.116636576294899,0.0037891772016882897,0.002651965275406837,8.505943417549134e-05,0.0063562153279781335,0.001975951217114925,0.09728862816467881,0.005107809513807297,0.037949132025241854,0.10169636826217175,0.12301697701215746,0.014581011265516282,0.0843842379152775,0.0013540894389152526,0.002240277111530304,0.021367482692003253,0.04525170063972474,0.0005298239588737488,0.06309983313083649,0.11954016253352165,0.00024606233835220337,0.002655020162463188,0.006393255814909935,0.18997146129608156,0.012806972861289977,0.02052248626947403,0.049620153903961184,0.005882135823369026,0.0038278237022459504,0.03115469515323639,0.014639474600553511,0.11001418977975845,0.1160775351524353,0.1084432628750801,0.06647004829719662,0.08653428975492715,0.0057964852750301355,0.17091135561466217,0.0029737068954855204,0.15582936406135559,0.11583595514297484,0.0012052288800477981,0.033358835577964784,0.002801102701574564,0.003011603113263845,0.00585627195239067,0.00570316244661808,0.004108752772212028,0.01682694390416145,0.038561979979276656,0.013770367354154586,0.0013117562979459761,0.08937874522060156,0.002042252629995346,0.0012016856372356415,0.004637530669569969,0.025279793441295623,0.05984717354178428,0.07851877868175507,0.02794466495513916,0.11344745635986328,0.09357484385371208,0.09093351602554321,0.08516855730861426,0.0025796940475702286,0.04828334778547287,0.11493035212159157,0.11870593309402466,0.004413290470838546,0.058514827638864515,0.052187668979167934,0.012129197120666502,0.006393928200006485,0.036228277966380125,0.12715712544322014,0.13396095946431158,0.10723241999745368,0.14875120490789415,0.05884995579719544,0.0030335095543414354,0.04146639959514141,0.04185012556612492,0.00030850937962532043,0.13363565909862518,0.072216714091599,0.006832616567611695,0.08096821135282517,0.003972030982375144,0.08035821725428105,0.005418181389570236,0.0039405785277485846,0.0610988432019949,0.0017137566730380058,0.05630500838160515,0.01274384915828705,0.001611627459526062,0.004694071650505066,0.05847646243870259,0.0008434862792491912,0.04940776817500591,0.07042419768404215,0.002007967285811901,0.009146263897418976,0.0045328626260161394,0.02214240416884422,0.1060347843170166,0.04057125002145767,0.1442805716395378,0.446947774887085,0.015095673501491547,0.0698455336689949,0.7150496453046798,0.022425341606140136,0.5766836380958558,0.5442163109779358,1.2773130393028258,1.4321323037147522,0.9083805359899998
1,-150123626.5798071,0.008752277793770313,0.0714860623296316,0.11663657708335422,0.0037891780930726228,0.00265196617604956,8.505955980557204e-05,0.006356215661391154,0.001975951266793191,0.09728862885782723,0.005107809564496487,0.03794913256667993,0.10169636915823299,0.12301697756352928,0.014581011407791437,0.08438423871866019,0.0013540901102048752,0.0022402776917899397,0.0213674830962545,0.045251700755282946,0.0005298241445970535,0.06309983328122037,0.1195401631867869,0.00024606326275324823,0.0026550206188307736,0.006393256137076915,0.18997146180207197,0.012806973490593565,0.02052248711965838,0.04962015474142936,0.005882136275608193,0.00382782452899155,0.031154695265714436,0.014639474964686393,0.11001419039142567,0.11607753522375702,0.10844326368756496,0.06647004901231462,0.08653429044151743,0.005796486156185775,0.17091135591238582,0.0029737069572516083,0.15582936456549096,0.11583595523967492,0.0012052291943033039,0.03335883566562003,0.0028011029501227736,0.003011603499727741,0.005856272576749026,0.005703163302536398,0.00410875371062547,0.01682694449923842,0.03856198028433051,0.013770368154554485,0.0013117567222591712,0.08937874606444285,0.0020422535082922576,0.0012016863478156179,0.004637530865271657,0.025279793809592024,0.05984717399903944,0.07851877954344583,0.027944665247030213,0.11344745639141607,0.09357484451365836,0.09093351606322235,0.08516855774928576,0.002579694486701518,0.04828334780752808,0.11493035279832337,0.11870593325159821,0.004413290919910043,0.058514828554292915,0.05218766928704231,0.012129197441775545,0.006393928864428162,0.03622827870992965,0.12715712592967338,0.13396095953339432,0.10723242053489583,0.14875120541146955,0.058849956359817546,0.003033510274549365,0.04146640011140871,0.04185012559149221,0.00030851011386281253,0.1336356595941812,0.07221671497591675,0.006832617058702618,0.08096821142302836,0.003972031479551253,0.08035821760811844,0.005418182215987324,0.003940579059763987,0.0610988441919514,0.0017137573204568921,0.0563050089593917,0.012743849934954317,0.0016116279515832708,0.004694071708051711,0.058476462998674955,0.0008434865746272653,0.049407769126766116,0.0704241984581989,0.002007967545353889,0.009146264051487982,0.004532863359084516,0.02214240428836858,0.10603478445687574,0.040571250257026105,0.14428057258312094,0.4469477756040373,0.015095673930867597,0.0698455341331867,0.7150496453914306,0.022425342370046196,0.576683638875114,0.5442163117219792,1.2773130399467667,1.4321323046169678,0.9083805369099087
2,-149598051.2293776,0.008752277841073453,0.07148606332697408,0.11663657792420139,0.0037891781365612443,0.0026519667929811247,8.506017157877983e-05,0.00635621596846968,0.0019759518574139993,0.09728862944616644,0.0051078097335367206,0.03794913341365403,0.10169636993612396,0.12301697769283419,0.014581012107365341,0.0843842391700243,0.0013540904080037025,0.002240277786250904,0.021367483256718132,0.04525170164624298,0.0005298246293380502,0.06309983412247747,0.11954016411461368,0.0002460636538929716,0.002655021112973887,0.006393257100370826,0.18997146220717195,0.012806973982307302,0.02052248778112225,0.04962015481229848,0.005882136406567168,0.0038278246191828544,0.031154695511410535,0.014639475865392266,0.11001419078400004,0.1160775356163985,0.10844326376122455,0.06647005000877157,0.08653429088046634,0.005796486244673728,0.17091135650696168,0.002973707719967514,0.1558293652326744,0.11583595592186877,0.0012052294275670646,0.0333588363880906,0.0028011032618519664,0.0030116035044505446,0.005856273391380936,0.0057031635332146285,0.0041087545052649384,0.016826945373546114,0.03856198120310318,0.013770368782936557,0.0013117569095896257,0.08937874694771612,0.0020422536623075603,0.00120168636858429,0.0046375311025931235,0.025279794420219763,0.0598471741640011,0.07851877985124557,0.027944665411476416,0.11344745641660597,0.09357484495204518,0.09093351703542746,0.08516855849770509,0.002579694540680855,0.04828334872325522,0.11493035374476511,0.11870593334426165,0.0044132910653987825,0.05851482955151796,0.052187670094774236,0.012129198440181716,0.006393929606533974,0.03622827924312224,0.12715712677181154,0.13396096011266848,0.10723242119921997,0.14875120564476263,0.05884995676229418,0.003033510531096518,0.041466400663033996,0.041850126359439736,0.0003085103284819722,0.13363565973054783,0.07221671563539003,0.006832617472780489,0.08096821214651173,0.003972031503954348,0.08035821826727828,0.005418182380490422,0.00394057958005717,0.061098845025227375,0.001713758244032502,0.05630500937978843,0.01274385074779901,0.0016116286476955308,0.004694072261089742,0.05847646334701742,0.000843486762518093,0.049407769706380056,0.07042419884635645,0.0020079678237016944,0.009146264125511646,0.004532863568263292,0.02214240473143471,0.1060347853472429,0.04057125099430302,0.14428057287916077,0.4469477756120836,0.015095674678144752,0.06984553425503025,0.715049645844272,0.022425343023643015,0.5766836397941094,0.5442163125742939,1.2773130401877446,1.4321323052719017,0.9083805374305709
3,-148661211.8025779,0.008752278183702842,0.07148606362038923,0.11663657851232495,0.00378917835093826,0.0026519671025179545,8.506019575999678e-05,0.006356216224141673,0.0019759527643081467,0.09728863023806651,0.00510781060776949,0.03794913375707236,0.10169636996157255,0.12301697821130396,0.014581012834568233,0.08438424013026606,0.001354090921975116,0.002240278242458496,0.021367483296333527,0.04525170238645569,0.0005298250198020059,0.06309983443896772,0.11954016412991059,0.0002460642815532759,0.002655021940878439,0.006393257888777466,0.1899714625897657,0.012806974784163939,0.020522487859907786,0.04962015535376332,0.005882137389864605,0.0038278248815021955,0.031154696414151015,0.014639476349600503,0.11001419128004679,0.1160775359352483,0.10844326433172238,0.06647005013125545,0.0865342912234848,0.005796486999489665,0.1709113568981324,0.002973708135075718,0.15582936604134748,0.11583595593447607,0.0012052303975366352,0.03335883702779834,0.0028011036135106387,0.0030116037845551815,0.005856273601589173,0.005703163740680158,0.004108755391540945,0.016826945873860695,0.03856198142220759,0.013770369014087869,0.0013117578739214612,0.08937874739092318,0.0020422542525783773,0.0012016868041207788,0.004637531227519691,0.025279795188377602,0.0598471748431995,0.07851878015857756,0.027944666184584032,0.11344745734964319,0.09357484545615476,0.09093351780054797,0.08516855860671362,0.00257969462519288,0.04828334893364615,0.11493035405632523,0.11870593425714329,0.0044132920610484485,0.05851482996761349,0.05218767067360043,0.01212919865260501,0.006393930022988528,0.036228279905042994,0.12715712721129468,0.1339609610014333,0.10723242188269036,0.1487512060781372,0.058849957371543075,0.003033511171657279,0.04146640155297533,0.04185012715009576,0.0003085111221842766,0.1336356603443622,0.0722167163243814,0.0068326180313980625,0.0809682126924053,0.003972031536681619,0.08035821924818808,0.005418182875254422,0.003940580129840836,0.06109884537756344,0.0017137589832425116,0.056305009911629914,0.012743850943240435,0.0016116289903791887,0.0046940722929059864,0.058476463718082246,0.0008434876860605032,0.04940776976961141,0.07042419921763124,0.002007968329002294,0.009146265029295025,0.0045328639780283795,0.02214240520922215,0.10603478607190454,0.040571251067060145,0.14428057361320493,0.44694777569205046,0.01509567561147028,0.0698455344520442,0.7150496464902881,0.02242534336103402,0.5766836399470932,0.5442163135637843,1.277313040727658,1.432132305697951,0.9083805378924881
4,-150127500.19879922,0.008752278571312696,0.07148606414545972,0.11663657863728508,0.003789178737917959,0.002651967107098482,8.506107724685968e-05,0.006356216618873321,0.001975953458050109,0.09728863109001722,0.005107810672964812,0.03794913468277272,0.10169637010373846,0.12301697865691298,0.01458101283937052,0.08438424026033735,0.0013540911332375208,0.002240278469019834,0.021367483509237742,0.04525170314296491,0.0005298254282923582,0.06309983458185942,0.11954016484027767,0.00024606496065067505,0.002655022650282982,0.006393258196506457,0.18997146291443312,0.012806975597135829,0.020522488633518556,0.049620155434841766,0.005882137672955166,0.003827825101490601,0.031154696668637634,0.014639477051697441,0.11001419137815871,0.11607753629489723,0.10844326487994234,0.06647005067458146,0.08653429153508846,0.005796487731641233,0.17091135736328217,0.0029737081495885844,0.1558293666972181,0.1158359566266804,0.0012052310613351164,0.03335883797722025,0.0028011037870117428,0.0030116040777060683,0.005856274586133808,0.005703164113184497,0.004108756318881811,0.01682694667890928,0.03856198204315333,0.013770369575876375,0.0013117578868364467,0.08937874833810133,0.00204225487498749,0.0012016876663145718,0.004637532078210056,0.02527979556524978,0.059847175515359036,0.07851878100825721,0.027944666640668164,0.11344745809154218,0.09357484590602592,0.09093351865284607,0.08516855907731855,0.0025796952410446026,0.04828334959783126,0.11493035443268015,0.11870593469901966,0.004413292135813743,0.05851483009230986,0.0521876713568899,0.012129199333292527,0.006393930575450588,0.03622827994925501,0.1271571277414956,0.1339609613507479,0.10723242206731805,0.14875120635617,0.05884995793549153,0.0030335117139910907,0.041466402173178485,0.041850127560463316,0.00030851180840876704,0.13363566066139757,0.07221671651879795,0.006832618686249917,0.08096821270687567,0.003972032269868655,0.08035822000363564,0.005418183482884078,0.003940580542062827,0.06109884629379832,0.0017137591917874215,0.056305010602596045,0.012743851235106454,0.0016116294220020963,0.004694072617762089,0.058476464581932425,0.0008434882776810081,0.049407770389621755,0.07042419949275115,0.0020079691522352427,0.009146265747944294,0.004532864308834903,0.022142405413449986,0.10603478693171058,0.04057125174699396,0.1442805740385072,0.446947776375753,0.015095676418355491,0.06984553533474207,0.715049647065871,0.02242534413667555,0.5766836404434273,0.544216314196503,1.2773130414701743,1.432132306541462,0.9083805386468857
5,-150764194.14892614,0.00875227916432321,0.0714860649921008,0.11663657939098598,0.0037891788013440664,0.0026519677503144064,8.506197948856654e-05,0.006356217459522986,0.0019759535050199104,0.09728863185113577,0.005107810786731811,0.037949135357102454,0.1016963703670682,0.12301697882607766,0.014581013095999226,0.08438424070310149,0.0013540916511869902,0.002240278597612921,0.021367484135428882,0.04525170334653605,0.0005298254538162592,0.0630998349072616,0.11954016502048305,0.000246065125718914,0.0026550227085062592,0.00639325918887298,0.18997146381909585,0.012806976267518269,0.02052248951000557,0.04962015586223247,0.005882138342013341,0.0038278258612207015,0.03115469695702991,0.014639477907307127,0.11001419218699222,0.11607753630244294,0.10844326569293193,0.06647005122914618,0.08653429232715455,0.005796488080770895,0.1709113578570273,0.002973708451686829,0.1558293667795235,0.11583595670771978,0.001205231373205006,0.03335883849801372,0.0028011042820168235,0.003011604283613443,0.005856275438556075,0.005703164229095116,0.00410875720240453,0.01682694704629663,0.03856198242966381,0.013770370135707111,0.0013117580881835296,0.08937874915269674,0.0020422555026879826,0.0012016886602734323,0.004637532755529211,0.02527979642938704,0.059847175805500065,0.07851878173947578,0.027944667553991717,0.11344745832699507,0.09357484619768575,0.09093351901802352,0.08516855940747982,0.002579695910209469,0.04828335033391505,0.11493035479734075,0.11870593559502153,0.004413292763442398,0.058514830281638675,0.052187671708807504,0.012129199842214276,0.006393931076193333,0.03622828043210667,0.1271571279291779,0.13396096160848475,0.1072324227024625,0.14875120651939044,0.058849958162093464,0.0030335120380534978,0.04146640224707173,0.04185012845337004,0.00030851273595136413,0.133635661381935,0.07221671697413688,0.006832619089379025,0.08096821362279846,0.0039720325055511724,0.08035822008606822,0.005418183773941784,0.0039405807069069826,0.06109884656404232,0.0017137598956403432,0.056305010972632435,0.012743851629598625,0.001611629894930704,0.004694072795112223,0.05847646514075275,0.0008434885028132946,0.049407771239192745,0.07042419964721948,0.002007969434013742,0.009146265768210737,0.004532865207096272,0.022142405956844503,0.10603478703477291,0.04057125196672529,0.14428057407460618,0.4469477768171403,0.015095677165385258,0.06984553592719736,0.715049647157382,0.022425344492759687,0.5766836411033832,0.5442163151074677,1.2773130424558887,1.4321323067960834,0.908380538682633
6,-149610460.02763104,0.008752279665872498,0.07148606522602827,0.11663658003457832,0.0037891791570105102,0.002651968394016213,8.506245722361843e-05,0.006356218409889275,0.00197595404752865,0.09728863221372978,0.0051078108641675725,0.037949135422689705,0.10169637088632008,0.12301697981146531,0.014581013248769417,0.08438424099573504,0.0013540926495137684,0.0022402786647559144,0.021367484675487405,0.04525170357425276,0.0005298260348502267,0.06309983550120424,0.11954016538544532,0.0002460656701382436,0.0026550234598388105,0.006393259794634411,0.18997146433170387,0.012806976614079374,0.020522489947435416,0.04962015622961214,0.0058821389047798555,0.0038278260195634206,0.03115469769779238,0.014639478108452298,0.11001419242109357,0.11607753699439576,0.10844326607725976,0.06647005139219855,0.08653429289906117,0.005796488482909143,0.17091135806021837,0.0029737092753297683,0.15582936701651823,0.11583595714763346,0.0012052318740153319,0.033358839289419906,0.0028011050803181327,0.0030116044458629782,0.005856275605160743,0.005703164715335541,0.004108757616241859,0.01682694755334259,0.03856198283671578,0.013770371114762515,0.0013117590455621554,0.08937874942360115,0.0020422564479398646,0.0012016889120132024,0.0046375336840486095,0.025279796470495292,0.059847176401622175,0.0785187824446077,0.027944668487035314,0.1134474588191036,0.09357484657237909,0.09093351965367558,0.08516855958349466,0.002579696795669935,0.04828335107961978,0.1149303548616248,0.11870593589654739,0.00441329346408485,0.05851483051125478,0.05218767211520787,0.012129200696963062,0.006393931520161171,0.03622828095058851,0.1271571280204403,0.1339609618963918,0.1072324232698919,0.14875120712561293,0.058849958249607356,0.0030335126360359265,0.04146640251356912,0.04185012916048028,0.00030851301754617703,0.13363566151236675,0.07221671732116697,0.00683261955204148,0.0809682137338364,0.0039720334092117685,0.08035822105682439,0.005418184198083027,0.003940581518653699,0.06109884657895164,0.0017137602368328569,0.05630501162116287,0.012743851924613902,0.0016116306465636925,0.004694073297809276,0.058476465462688074,0.0008434886466635019,0.04940777216744726,0.07042420059916807,0.0020079695242648005,0.009146266475706039,0.0045328653072763915,0.02214240647740458,0.10603478744410211,0.040571252637265534,0.14428057413117543,0.4469477772685398,0.01509567723295511,0.06984553601285308,0.7150496475257316,0.022425345483670516,0.5766836416804019,0.5442163160430961,1.2773130427674042,1.4321323070406506,0.9083805395784221
7,-150084387.79842445,0.008752280207712947,0.07148606525431327,0.11663658038813068,0.0037891793869502094,0.0026519686716124334,8.506254145889918e-05,0.00635621935920381,0.0019759549400379614,0.09728863243469862,0.005107811756044091,0.03794913626206279,0.1016963714902078,0.12301698028936497,0.014581013330599144,0.08438424180777372,0.0013540933252616993,0.0022402789695061187,0.021367485159481163,0.04525170457405323,0.0005298269789351393,0.06309983646772216,0.11954016611058182,0.00024606573044014355,0.002655023492036256,0.006393260637596915,0.18997146498946924,0.012806976655289577,0.020522490797834105,0.049620156876050855,0.005882139469609518,0.0038278262365180394,0.031154698006044403,0.01463947820827771,0.11001419291683781,0.11607753778231635,0.10844326663044344,0.06647005178757537,0.08653429327897263,0.005796489263008446,0.17091135891255088,0.002973709314402103,0.1558293678789634,0.11583595749906604,0.0012052322168048476,0.03335883993304767,0.002801105593904717,0.00301160457678914,0.005856276011568867,0.005703165503741556,0.004108758105801208,0.016826947801222958,0.03856198377413779,0.01377037189617601,0.001311759238691665,0.08937875021598794,0.002042257121881119,0.001201689660754531,0.004637534230104273,0.025279797312634925,0.059847176402009455,0.07851878301814132,0.027944668957469037,0.11344745953979549,0.09357484691983572,0.09093351980067005,0.08516855993204689,0.0025796968793347697,0.04828335124013041,0.11493035522895056,0.11870593682651298,0.004413293805711241,0.0585148312979564,0.05218767228897544,0.012129201585628857,0.00639393180815718,0.036228281533925634,0.12715712850931066,0.13396096231126373,0.10723242354925569,0.14875120779348303,0.058849959005788835,0.0030335130734076795,0.041466402834657384,0.04185012999144601,0.0003085134148323835,0.13363566246632896,0.0722167179861812,0.00683262035406206,0.08096821442047382,0.003972033961289837,0.08035822113111558,0.005418185039606793,0.003940582012334759,0.061098847202555887,0.001713761197342157,0.05630501233977565,0.012743852712334552,0.0016116315663411453,0.004694073895858955,0.05847646613304316,0.0008434893241647334,0.04940777285841838,0.07042420090874871,0.0020079703616417525,0.009146266930935176,0.004532865690601991,0.02214240681216939,0.10603478828482031,0.040571253364654496,0.14428057495713326,0.4469477774338684,0.01509567762447716,0.06984553662973066,0.7150496484929983,0.022425346262611164,0.5766836418658586,0.5442163166742732,1.2773130436132332,1.4321323072523555,0.9083805401564892
8,-149039715.78949305,0.00875228085770428,0.07148606560995344,0.11663658055750015,0.0037891801537094857,0.0026519687011959175,8.506310656207989e-05,0.006356219916912703,0.0019759550548716144,0.0972886326281514,0.005107811798277022,0.037949137067022326,0.10169637244022287,0.12301698093035247,0.014581013818157924,0.08438424278601842,0.0013540936523813774,0.002240279004544858,0.02136748600705498,0.04525170493520113,0.000529827124232309,0.06309983676880805,0.11954016694986822,0.0002460664157878943,0.0026550240669473216,0.006393260671101819,0.1899714654076108,0.012806976815027253,0.020522491382667818,0.04962015730790216,0.005882140366078098,0.003827826393027409,0.031154698081256763,0.014639478535157643,0.11001419354151357,0.11607753840116894,0.10844326706802393,0.06647005243095398,0.08653429393179743,0.005796489979066835,0.17091135964583204,0.0029737094111236626,0.155829368789001,0.11583595822606088,0.0012052331596429501,0.033358840357209096,0.002801105615476979,0.0030116049015407407,0.005856276858065986,0.005703166272770161,0.00410875855035918,0.016826947886491545,0.038561983809904395,0.013770372810652852,0.0013117595940219235,0.08937875040659027,0.0020422577727954153,0.0012016902407162929,0.00463753491340225,0.025279797586493503,0.05984717687135855,0.07851878374941901,0.027944669796559383,0.11344745989611801,0.09357484741097222,0.09093352059780743,0.08516856061411995,0.00257969732360129,0.04828335143277471,0.1149303554613514,0.11870593776228343,0.004413294154353099,0.05851483220579674,0.05218767328617464,0.012129202512836446,0.00639393228755192,0.036228281660429906,0.12715712878102273,0.13396096262372237,0.10723242396505633,0.14875120853941168,0.05884995901046744,0.0030335139802134927,0.04146640374386357,0.04185013036373538,0.00030851358960947404,0.13363566311288808,0.07221671870532709,0.006832620403037736,0.08096821532884861,0.003972034752367749,0.08035822181846836,0.005418185410243629,0.003940582171390082,0.06109884720819663,0.0017137612101116772,0.056305012770989156,0.0127438532907108,0.0016116319100926055,0.0046940745836838,0.05847646694878577,0.0008434897576168404,0.04940777352144582,0.07042420158684597,0.0020079706537576496,0.009146267289494458,0.004532866120791646,0.022142407158072325,0.10603478866102105,0.04057125338069688,0.1442805752233614,0.4469477777548363,0.015095678183727167,0.06984553733754972,0.7150496494236803,0.02242534662229398,0.576683642467237,0.5442163169727827,1.2773130440184222,1.4321323081583475,0.9083805406031138
9,-148958405.62974763,0.008752281654753415,0.07148606631054606,0.11663658087001867,0.003789180476521387,0.002651969029784746,8.506393635112237e-05,0.006356220228214128,0.0019759557406044408,0.09728863291914258,0.0051078118932662625,0.03794913791634157,0.10169637273897095,0.12301698132883933,0.014581014261294765,0.08438424340325165,0.0013540937592617145,0.0022402792485990562,0.02136748630662104,0.04525170541844228,0.0005298277847864498,0.06309983683761643,0.11954016791114651,0.0002460665007033535,0.002655024639923106,0.006393261523038845,0.1899714662030261,0.012806977031698422,0.02052249203302566,0.04962015763480321,0.005882141182386149,0.003827827018994748,0.03115469899218093,0.01463947901826924,0.11001419448039729,0.1160775388356427,0.10844326798131025,0.06647005307806873,0.08653429433782694,0.005796490307516412,0.17091136017937272,0.002973709800464056,0.1558293696109339,0.11583595861474275,0.0012052339622779045,0.03335884120426584,0.002801105823557718,0.0030116049817463003,0.005856277745151036,0.005703166749486957,0.004108759104416692,0.016826948659022577,0.038561984193865625,0.013770373064613624,0.0013117599801426003,0.08937875122934932,0.002042258392337001,0.0012016905398407125,0.004637535532594001,0.02527979770141376,0.059847177361585444,0.07851878453088051,0.027944670635346433,0.11344746023663146,0.09357484791288227,0.0909335213515261,0.0851685615327642,0.002579697570715293,0.048283352049413426,0.11493035618510353,0.11870593825615264,0.004413294664701256,0.058514832985080915,0.05218767346868764,0.012129202671296467,0.006393933264484148,0.03622828166716678,0.12715712912599414,0.1339609634930311,0.10723242472354406,0.14875120917656087,0.058849959164703515,0.0030335144013046915,0.041466403837907596,0.04185013107075025,0.0003085136498029531,0.1336356633333034,0.07221671912934477,0.006832620729706148,0.08096821573345804,0.003972034776724591,0.08035822219652639,0.005418185719518093,0.003940582571174281,0.06109884759228436,0.0017137617733837586,0.05630501349518473,0.012743854271496945,0.0016116322921180635,0.004694074956967947,0.05847646772593306,0.0008434900692642108,0.04940777440403507,0.0704242017404075,0.0020079708228724776,0.009146268011798592,0.004532866868415477,0.022142407815207873,0.10603478946491551,0.040571253655064386,0.14428057607699352,0.4469477778377563,0.015095679124994389,0.06984553788254506,0.7150496503243926,0.022425346686516315,0.5766836426377773,0.544216317369897,1.277313044424865,1.432132308536949,0.9083805408006428
