episode,total_reward
0,-3.639972019658383
1,-4.143631785020096
2,-4.112579201844673
3,-4.116753687418046
4,-4.154108603029572
5,-4.12111254486315
6,-4.150439903934727
7,-4.13034670094647
8,-4.143615096471687
9,-4.125824191858488
10,-4.211499375849664
11,-4.122619539804331
12,-4.110053287141039
13,-4.16909588154104
14,-4.150250837088739
15,-4.152676495500263
16,-4.175837700471814
17,-4.1755770465575335
18,-4.117998828338717
19,-4.156026310909405
20,-4.088048663175799
21,-4.12341892675718
22,-4.123081610978675
23,-4.1745119719463215
24,-4.13081077779683
25,-4.17753062524511
26,-4.129146025606483
27,-4.132094871594614
28,-4.138007455453784
29,-4.14437082723554
30,-4.182436164465782
31,-4.125163128802413
32,-4.196149808530887
33,-4.1152520722015
34,-4.123602910443875
35,-4.132241963593577
36,-4.159046774753085
37,-4.101650104352428
38,-4.131318039325554
39,-4.123957708405667
40,-4.129143347986584
41,-4.160145706940629
42,-4.15238988022277
43,-4.097452631896742
44,-4.111491406684722
45,-4.133414357481532
46,-4.148331764618533
47,-4.180762418904851
48,-4.136325553036932
49,-4.124092721502668
50,-4.099804303476607
51,-4.117355441312405
52,-4.144277191617078
53,-4.110559033299065
54,-4.124848773679586
55,-4.11567767185951
56,-4.107376825425509
57,-4.138876719891472
58,-4.114002216128883
59,-4.116188092595153
60,-4.147403858616812
61,-4.105439730515245
62,-4.1293787031631854
63,-4.1036007077411485
64,-4.1209208286270815
65,-4.11350183766707
66,-4.127140645273012
67,-4.150571066767488
68,-4.143810112047432
69,-4.143814419686756
70,-4.117520625432609
71,-4.148222390355997
72,-4.174257002176408
73,-4.154627061326135
74,-4.116772478427064
75,-4.16137060342892
76,-4.086197068569865
77,-4.1528566681038015
78,-4.137170774501424
79,-4.096226094237744
80,-4.12714807060636
81,-4.106774486387087
82,-4.172807058552319
83,-4.114617369519821
84,-4.117924695024267
85,-4.091338347959429
86,-4.127722725533257
87,-4.09056592165665
88,-4.114994496771981
89,-4.172787120386124
90,-4.15484521034886
91,-4.129336230407869
92,-4.12915390196542
93,-4.090015241171268
94,-4.1017192259706405
95,-4.124540972794317
96,-4.156300987589675
97,-4.129729031745073
98,-4.14768330463
99,-4.080427278828973
100,-4.1251999711531635
101,-4.123458780031805
102,-4.160346551347196
103,-4.159429641934244
104,-4.142405588382462
105,-4.141038973908158
106,-4.131077185375138
107,-4.13660249072289
108,-4.1095796646446665
109,-4.107888414907962
110,-4.117131640597023
111,-4.1520283328445
112,-4.152070976375095
113,-4.125297751819511
114,-4.10416456859145
115,-4.138034070029916
116,-4.11834342918083
117,-4.128251237848726
118,-4.133652613298263
119,-4.139680873514307
120,-4.151313943055934
121,-4.129226319673999
122,-4.1147385839888635
123,-4.150418958309272
124,-4.0923902922711015
125,-4.129613261969366
126,-4.132905344596743
127,-4.145642205224054
128,-4.135035440634126
129,-4.132130279302671
130,-4.144075681191239
131,-4.121990830560287
132,-4.117653864349771
133,-4.132837903671417
134,-4.113394113671912
135,-4.1601112421040645
136,-4.137509722241603
137,-4.1752590390507915
138,-4.131500444650394
139,-4.128606834932756
140,-4.106158260639515
141,-4.1151267125702615
142,-4.10550149687653
143,-4.122110519108402
144,-4.125208231440634
145,-4.1338330523949125
146,-4.1553162267763355
147,-4.1139123517593585
148,-4.100330750148624
149,-4.123552443880933
150,-4.12763530882985
151,-4.085836378128782
152,-4.090832829411186
153,-4.1067997857480485
154,-4.126482110587369
155,-4.127285293654321
156,-4.125241503223709
157,-4.137726845987798
158,-4.111840449050003
159,-4.0975655000477635
160,-4.092881407621099
161,-4.092742804607731
162,-4.13088825462588
163,-4.1111524258341205
164,-4.154475986151022
