epoch,sgen_1,sgen_2,sgen_3,sgen_4,sgen_5,sgen_6,sgen_7,sgen_8,sgen_9,sgen_10,sgen_11,sgen_12,sgen_13,sgen_14,sgen_15,sgen_16,sgen_17,sgen_18,sgen_19,sgen_20,sgen_21,sgen_22,sgen_23,sgen_24,sgen_25,sgen_26,sgen_27,sgen_28,sgen_29,sgen_30,sgen_31,sgen_32,sgen_33,sgen_34,sgen_35,sgen_36,sgen_37,sgen_38,sgen_39,sgen_40,sgen_41,sgen_42,sgen_43,sgen_44,sgen_45,sgen_46,sgen_47,sgen_48,sgen_49,sgen_50,sgen_51,sgen_52,sgen_53,sgen_54,sgen_55,sgen_56,sgen_57,sgen_58,sgen_59,sgen_60,sgen_61,sgen_62,sgen_63,sgen_64,sgen_65,sgen_66,sgen_67,sgen_68,sgen_69,sgen_70,sgen_71,sgen_72,sgen_73,sgen_74,sgen_75,sgen_76,sgen_77,sgen_78,sgen_79,sgen_80,sgen_81,sgen_82,sgen_83,sgen_84,sgen_85,sgen_86,sgen_87,sgen_88,sgen_89,sgen_90,sgen_91,sgen_92,sgen_93,sgen_94,sgen_95,sgen_96,sgen_97,sgen_98,sgen_99,sgen_100,sgen_101,sgen_102,sgen_103,sgen_104,sgen_105,sgen_106,sgen_107,sgen_108,sgen_109,sgen_110,sgen_111,sgen_112,sgen_113,sgen_114,sgen_115,sgen_116,sgen_117,sgen_118,sgen_119,sgen_120
0,0.057,0.137,0.137,0.0065,0.0065,0.137,0.145,0.0065,0.19,0.0065,0.137,0.137,0.137,0.137,0.137,0.0065,0.0065,0.137,0.137,0.0065,0.19,0.19,0.0065,0.0065,0.0065,0.19,0.145,0.145,0.19,0.0065,0.0065,0.19,0.145,0.145,0.145,0.145,0.145,0.145,0.0065,0.19,0.0065,0.19,0.145,0.0065,0.145,0.0065,0.0065,0.0065,0.0065,0.0065,0.145,0.145,0.145,0.0065,0.19,0.0065,0.0065,0.0065,0.19,0.145,0.16,0.16,0.16,0.145,0.16,0.137,0.0065,0.19,0.19,0.16,0.145,0.145,0.145,0.145,0.0065,0.137,0.137,0.145,0.145,0.19,0.19,0.0065,0.057,0.137,0.137,0.137,0.137,0.137,0.137,0.0065,0.137,0.0065,0.0065,0.137,0.0065,0.19,0.137,0.0065,0.0065,0.137,0.0065,0.145,0.145,0.0065,0.19,0.0065,0.145,0.16,0.19,0.19,0.54,0.075,0.12,1.8,0.12,0.92,2.1,1.42,2.0,1.7
1,0.026879761632291437,0.06075479761300779,0.05112377292080021,0.00047200371487236023,0.005160211996866226,0.036291404964161875,0.04352204370660877,0.006229184971881866,0.15474388639791106,0.002156616726649761,0.06054945949254728,0.05820224444730378,0.09824328409297563,0.11591325976116754,0.1266434300111065,0.0006629599200019836,0.002240233169628143,0.10317572279436685,0.09173405301733113,0.0034322319140115973,0.175798722909523,0.05446001897914505,0.0025921990664134024,0.002377156229449272,0.002268527196479797,0.11828486967249012,0.11261189754469489,0.06695470827980136,0.12654574717743491,0.001983036087585449,0.005841941522193909,0.013408475028110503,0.031636040614677424,0.03701102729303932,0.04853140856487846,0.14418511356575583,0.12555405910475348,0.04765658635063266,0.0029982559082487818,0.16662693838937379,0.004700514355433941,0.10410284883691168,0.02381487916572189,0.006157399000359535,0.01711920555098152,0.003229670839842245,0.0021297975496778485,0.0029841926523873803,0.0015065570042858123,0.002629852873964071,0.09162287543876266,0.09507577690644359,0.07428844009408897,0.001800501839948654,0.1150996841804514,0.005058512540293694,0.00014252184493637084,0.0019741485358605385,0.0009719194041023255,0.02159643019898033,0.07530377398593521,0.10353619675500489,0.13998493294580078,0.0882231004850397,0.12341824154718017,0.08722550083859062,0.006392246396971703,0.14558124105794526,0.1772535173164139,0.024568334625793456,0.07690225045545196,0.0326775821612606,0.04837861041886901,0.12299771185381507,0.00021447906060314176,0.0007387193010578156,0.10801977448327638,0.11621601338846778,0.11664211879832839,0.0878526057617197,0.15864101062877273,0.00637953694326973,0.056418117211891175,0.0017655650542507172,0.09633615301711655,0.015788845615221023,0.1255117757485638,0.048150542916489604,0.10312034617526628,0.004844324568046093,0.018449173019958496,0.0039602713936398035,0.00444637332273817,0.11272808547480202,0.0007340551034936905,0.10776243436498738,0.11466344584686852,0.0007974549548158646,0.0015975918637046813,0.012577577398849488,0.002923102684078574,0.003863915608955383,0.11458014975650405,2.372121973133087e-05,0.08761419575078583,0.0018659427703747748,0.08787177580757236,0.06668521742684937,0.06469846587045289,0.0023879713879356385,0.5065968428121338,0.027714289979768752,0.11282401184899901,1.1529191951022875,0.04134442190988159,0.4441404956893454,0.858827281253172,0.41283158551318744,1.039315090583397,1.59610293607576
2,0.02687976241538036,0.06075479773852149,0.051123773740010356,0.00047200453139120344,0.00516021234073326,0.03629140556593245,0.04352204397108906,0.006229185244536578,0.15474388647481604,0.0021566170079682615,0.06054946013934774,0.058202245267460026,0.09824328415254975,0.11591326040177129,0.1266434302161873,0.0006629604995396659,0.002240233260933399,0.10317572370631174,0.09173405307171262,0.0034322321799231913,0.17579872363527463,0.05446001949697507,0.0025921992572289407,0.00237715627165398,0.0022685281147054727,0.1182848701658639,0.1126118984743401,0.06695470849065456,0.12654574733191587,0.001983036980951875,0.005841942474637747,0.01340847525071901,0.031636040739086595,0.037011027786884344,0.048531409261062246,0.1441851139948624,0.12555405926754235,0.047656586609699764,0.002998256367799047,0.166626939271517,0.00470051492505201,0.10410284928921192,0.023814879522472677,0.006157399796863586,0.017119206361747352,0.0032296709486439672,0.0021297981810797597,0.00298419326597207,0.0015065576960299164,0.002629852942400366,0.09162287571872552,0.09507577693778649,0.07428844040457204,0.0018005025330031363,0.11509968454461034,0.005058512574061901,0.0001425227359894514,0.0019741486603048444,0.0009719195842935145,0.02159643111418652,0.07530377402700669,0.10353619724195984,0.13998493297580833,0.08822310137715336,0.12341824186170693,0.08722550107795868,0.006392246676460415,0.14558124159943459,0.17725351798367145,0.02456833509063404,0.07690225124180608,0.03267758230100363,0.04837861117663553,0.12299771278402366,0.00021447955619210467,0.000738720126471311,0.10801977493280147,0.11621601425882147,0.11664211961772465,0.08785260649902728,0.15864101101819927,0.0063795376450689585,0.056418117722929616,0.001765565584169559,0.09633615374213071,0.01578884643946284,0.12551177584116924,0.04815054321768236,0.10312034680380779,0.0048443250025801445,0.018449173262928456,0.0039602723417698155,0.004446374074557871,0.11272808561106369,0.0007340559482448697,0.10776243481397622,0.11466344634687128,0.0007974554011064098,0.0015975923048052862,0.012577577619793058,0.0029231036059213576,0.0038639161768003996,0.11458015041588511,2.372156812264025e-05,0.08761419606245652,0.001865943591250181,0.08787177591194789,0.06668521746295848,0.06469846651667441,0.002387972230257064,0.506596843719238,0.027714290440551372,0.11282401253240887,1.1529191954340732,0.04134442276049602,0.4441404961929084,0.8588272819761722,0.4128315861743962,1.0393150914339844,1.5961029368507653
3,0.026879763324825584,0.060754797885056236,0.051123774704462055,0.0004720045843346715,0.005160212896951039,0.03629140614535252,0.043522044320092004,0.006229185742298514,0.15474388712128495,0.0021566172677540477,0.06054946110739697,0.058202246139503304,0.09824328480996079,0.11591326056066797,0.12664343089344365,0.000662961314609699,0.0022402332742148933,0.10317572402236472,0.09173405348252364,0.003432232826005861,0.17579872462194865,0.05446002033807874,0.0025922001585213543,0.002377156678523846,0.002268528760611057,0.11828487026999647,0.11261189865613042,0.06695470918594955,0.12654574767843407,0.001983037685768991,0.005841942787016943,0.013408475598486272,0.03163604103080855,0.037011028172440015,0.04853140989367765,0.1441851143099303,0.12555405967688232,0.04765658745625607,0.00299825668092348,0.1666269397697537,0.004700515083020412,0.10410285021787931,0.023814879821559963,0.00615739991643718,0.017119206471618503,0.0032296715444805023,0.002129798435791611,0.0029841934150794665,0.0015065585703320054,0.0026298532417270686,0.0916228763731163,0.09507577701368958,0.07428844087254463,0.0018005028397674856,0.11509968510142246,0.005058513038621452,0.0001425237144783139,0.0019741493396204413,0.0009719203842228353,0.021596432087616618,0.07530377469301971,0.10353619791018086,0.13998493373496051,0.08822310171960211,0.12341824232605522,0.08722550171052389,0.00639224737953414,0.1455812421664451,0.17725351874920472,0.02456833545538475,0.07690225172267019,0.03267758317472696,0.048378611969897324,0.12299771328153823,0.00021448039958012565,0.0007387201348209978,0.10801977559161098,0.1162160145906307,0.11664212005272438,0.08785260720207128,0.15864101171441986,0.006379538354928017,0.05641811789915948,0.0017655663294482602,0.09633615472681518,0.01578884679773712,0.12551177603972366,0.04815054401085544,0.10312034735439263,0.004844325443709557,0.018449173601306976,0.0039602723518533415,0.00444637433638677,0.11272808627878393,0.0007340565738990009,0.1077624351267085,0.11466344700469967,0.0007974557537193224,0.001597593018859811,0.01257757783870429,0.0029231039483893066,0.0038639166292346225,0.11458015062260636,2.3722384176805613e-05,0.08761419688950353,0.001865943959131941,0.08787177656539291,0.06668521797341735,0.0646984670067139,0.0023879724244273604,0.5065968443420963,0.02771429115862234,0.11282401270659274,1.1529191955923197,0.04134442372769079,0.44414049630924435,0.8588272821665704,0.4128315864117528,1.0393150918413545,1.5961029378327174
4,0.026879764294570684,0.06075479872120271,0.05112377534314321,0.0004720046229853928,0.005160213488741752,0.03629140662467905,0.04352204439295811,0.006229186300076635,0.1547438873371209,0.0021566177933067415,0.060549461773402494,0.058202246825604605,0.09824328579202236,0.11591326131917108,0.12664343130284886,0.0006629619400923476,0.0022402334685409663,0.10317572432636435,0.09173405410613059,0.0034322335609414125,0.17579872500059812,0.054460020604524095,0.002592200827758193,0.0023771570195737853,0.0022685295545936224,0.11828487105145956,0.11261189964759195,0.06695471012103577,0.12654574848045616,0.0019830378679085367,0.005841943048402771,0.013408475650834051,0.03163604121668739,0.03701102899484717,0.04853141039756178,0.1441851144575802,0.12555405976237272,0.047656588144843214,0.002998257404320228,0.166626940123804,0.004700515372191929,0.10410285026095213,0.023814880669665514,0.006157400485388339,0.017119206666457266,0.003229672346662521,0.002129798879929233,0.0029841942096972087,0.001506559239476144,0.002629854166261032,0.09162287691618497,0.09507577724528035,0.07428844144662226,0.001800503493537664,0.11509968515713757,0.005058513984348413,0.00014252433576400573,0.0019741500095009504,0.0009719210863272549,0.021596432977609898,0.07530377517788457,0.10353619853226041,0.13998493431187015,0.08822310226473914,0.12341824274287079,0.08722550200369791,0.0063922477688274386,0.14558124282898885,0.17725351924848942,0.024568336323877532,0.07690225228902725,0.03267758389984387,0.048378612611461785,0.12299771380841555,0.0002144810386761473,0.0007387209127202333,0.10801977608239945,0.1162160154426968,0.11664212089975869,0.0878526073940559,0.1586410124741699,0.006379539103091777,0.05641811888734387,0.0017655669076823964,0.09633615518059692,0.015788847328299434,0.12551177689696225,0.04815054438347512,0.10312034831094256,0.0048443258083600595,0.01844917403820388,0.003960273183026106,0.00444637503108056,0.11272808665835991,0.0007340575023345947,0.10776243599482865,0.11466344747744217,0.000797456164271161,0.0015975935067445923,0.012577578571120442,0.002923104749479845,0.00386391755513082,0.11458015116498498,2.372316358272731e-05,0.0876141971109943,0.0018659448971049635,0.08787177730903134,0.06668521865879255,0.06469846737061297,0.002387973046839945,0.5065968450097219,0.02771429175484456,0.11282401282982138,1.1529191964910348,0.04134442399245265,0.4441404964731624,0.8588272823218073,0.4128315871325048,1.0393150928258952,1.5961029386901895
5,0.02687976519684106,0.06075479933724972,0.051123775908943195,0.0004720046543243527,0.0051602138990321875,0.036291407192032006,0.04352204529795895,0.006229186419144423,0.15474388756647867,0.0021566184885857733,0.060549461881000265,0.05820224782246124,0.09824328629946973,0.11591326214918925,0.12664343146172138,0.0006629625154654608,0.002240233916623354,0.10317572461574884,0.09173405480735598,0.0034322343521145725,0.17579872562967888,0.054460021482642014,0.002592201711767107,0.0023771575838024764,0.0022685302916491176,0.1182848711420785,0.1126119001026248,0.06695471012212814,0.12654574867397925,0.00198303803142932,0.005841943893542453,0.013408476513656911,0.03163604176646418,0.03701102962100615,0.04853141056300654,0.14418511465747805,0.12555405997289584,0.04765658894834678,0.0029982577815618767,0.1666269404919508,0.004700516157682263,0.10410285028291742,0.023814880761847016,0.006157400933020138,0.017119207310868516,0.0032296724479151068,0.00212979951133104,0.002984195036855302,0.0015065599717662033,0.0026298543216699208,0.09162287750807079,0.09507577786642808,0.0742884420493387,0.0018005040606808881,0.11509968589596818,0.005058514792627898,0.00014252512250934534,0.0019741503980902357,0.0009719219816605748,0.021596433578323835,0.07530377576677119,0.10353619889511786,0.1399849349116754,0.08822310296436896,0.1234182433429129,0.08722550250156706,0.006392248367466882,0.14558124370778816,0.17725351979943307,0.024568336669714277,0.07690225310692701,0.03267758436863316,0.04837861312113899,0.12299771462248014,0.00021448159398369953,0.00073872095757401,0.10801977648680891,0.11621601577455702,0.11664212158658653,0.08785260760194381,0.15864101305547162,0.006379539777971776,0.056418119525427385,0.00176556698214785,0.09633615570741141,0.015788848201388508,0.12551177760012264,0.04815054458572194,0.10312034866429784,0.004844326168536802,0.018449174898468777,0.003960274009728612,0.004446375461680152,0.11272808698381602,0.0007340584589059055,0.10776243647220883,0.1146634483358593,0.0007974568568335772,0.0015975941523483533,0.012577578881218687,0.0029231047520976213,0.003863918512296687,0.11458015214592036,2.372323005007207e-05,0.08761419774381868,0.0018659449112835376,0.0878717781254907,0.06668521957225743,0.06469846815611331,0.0023879736427190675,0.5065968452854468,0.027714292698300523,0.11282401344234098,1.1529191974106683,0.04134442461938459,0.4441404973240391,0.8588272825848804,0.4128315877353954,1.0393150930151258,1.5961029396404025
6,0.026879765616284905,0.060754800125052716,0.05112377662932629,0.0004720049842706471,0.0051602146371185756,0.036291407484600614,0.04352204576231286,0.006229186513440311,0.1547438882027045,0.0021566189007920654,0.060549462877659214,0.05820224810582756,0.09824328634303044,0.11591326241408104,0.12664343198866465,0.0006629635075492189,0.0022402339738063813,0.10317572472651831,0.09173405519329696,0.003432235090959414,0.1757987258810272,0.054460022227449806,0.002592202478309393,0.0023771580298724395,0.002268530302309647,0.11828487181584935,0.11261190011575066,0.06695471019133062,0.12654574897393508,0.001983038265638977,0.005841944297312952,0.013408477006746982,0.03163604257094885,0.037011030071231826,0.048531411232420746,0.1441851150594119,0.12555406006449937,0.04765658930912598,0.0029982584385435684,0.16662694097633965,0.004700516676584179,0.10410285047040371,0.023814880806453345,0.006157401857281977,0.017119208300461337,0.0032296729848867094,0.0021297998495509955,0.0029841955110728006,0.0015065604750605136,0.0026298548017799103,0.09162287774632914,0.09507577789213226,0.07428844285265142,0.0018005043192598144,0.11509968640640547,0.005058514922784326,0.00014252602442441873,0.0019741511443239074,0.0009719228109370472,0.021596434243377843,0.07530377613278501,0.10353619982652394,0.13998493534091028,0.08822310340296723,0.12341824391551419,0.08722550259641045,0.006392248941502095,0.14558124379904405,0.17725352078567222,0.024568337084165393,0.07690225340827188,0.03267758489543966,0.04837861376872553,0.1229977154961059,0.00021448225656782552,0.0007387218666845562,0.10801977673660151,0.11621601640059746,0.11664212218077107,0.08785260859380054,0.1586410135397353,0.006379539964667291,0.05641811969684271,0.001765567126723714,0.0963361562466499,0.015788848446553587,0.12551177819050116,0.04815054532737331,0.10312034963016745,0.004844326381370416,0.018449175759706362,0.003960274842231692,0.004446375907658291,0.11272808740256333,0.0007340584879906476,0.10776243746493369,0.11466344845010805,0.0007974569338815511,0.0015975947686870532,0.012577579255831257,0.0029231056241816426,0.0038639188032391324,0.11458015225294095,2.3723623982623214e-05,0.08761419819615163,0.0018659454732331444,0.0878717786573577,0.06668522057219735,0.06469846882140225,0.0023879744176842047,0.5065968461051455,0.027714293689614276,0.11282401391204865,1.1529191983523555,0.041344424698161304,0.4441404982090617,0.8588272835402981,0.41283158788668783,1.0393150930929917,1.5961029397312503
7,0.02687976614018521,0.060754800716517884,0.05112377697162667,0.0004720050595246404,0.005160215578275768,0.036291408028878966,0.04352204595855996,0.006229187102753148,0.15474388910976475,0.002156619261615801,0.06054946309516011,0.05820224828667959,0.09824328716558225,0.11591326246325674,0.1266434319893522,0.0006629635418482051,0.0022402341044689715,0.10317572553848378,0.09173405595180235,0.003432235653078015,0.1757987263623203,0.05446002263806876,0.002592203469707787,0.002377158542676195,0.002268530332013234,0.11828487257501448,0.11261190046125967,0.0669547108344637,0.12654574914941072,0.0019830387917947503,0.005841944638402186,0.013408477047824744,0.031636043073388076,0.03701103028457017,0.04853141124805585,0.14418511573315715,0.1255540601037918,0.04765659006582879,0.0029982593260317247,0.1666269412186383,0.0047005175687509435,0.1041028511090203,0.023814881543007448,0.0061574028236605766,0.01711920925939761,0.0032296739545565876,0.002129799914971951,0.0029841959204866004,0.001506560931825506,0.0026298554464944893,0.09162287844864757,0.09507577828113147,0.07428844369578887,0.0018005050332909741,0.11509968722875985,0.005058515524021288,0.00014252669370609514,0.0019741520765043418,0.0009719237215555312,0.021596434778890103,0.07530377643922566,0.10353620023711588,0.13998493548037663,0.08822310347545008,0.1234182446615907,0.08722550318984194,0.0063922499176928705,0.14558124462255523,0.17725352152852328,0.024568338005038288,0.07690225367432567,0.032677585237449236,0.04837861468582125,0.1229977156746759,0.00021448299135239882,0.000738722664936632,0.10801977717493001,0.11621601691253682,0.11664212260982451,0.08785260870367657,0.1586410138407094,0.006379540781452985,0.0564181199081027,0.0017655673675371184,0.09633615657721167,0.015788848752465782,0.1255117788037069,0.04815054584898765,0.10312034982682218,0.004844326474262884,0.01844917664306633,0.0039602755980073226,0.00444637628021842,0.11272808811741555,0.0007340593406938016,0.10776243801958271,0.11466344861269706,0.0007974574287789013,0.0015975953449966968,0.012577579579225853,0.00292310640903522,0.0038639192073611946,0.11458015259596495,2.3724240978337818e-05,0.08761419882068654,0.0018659457357743342,0.08787177964795091,0.06668522137674737,0.06469846939443087,0.0023879746729954555,0.5065968463455998,0.02771429442113399,0.1128240143811113,1.1529191990274243,0.041344424891183375,0.44414049885686874,0.8588272840768069,0.4128315886424394,1.0393150938475118,1.5961029401487663
8,0.026879766565546293,0.06075480118418489,0.05112377727302171,0.00047200515960566696,0.005160216235948754,0.03629140862279292,0.04352204626006393,0.006229187811024264,0.15474388993816454,0.0021566196797823266,0.06054946314253793,0.058202248893113075,0.09824328797911887,0.11591326316543825,0.12664343203311373,0.0006629640570645194,0.0022402341242146492,0.10317572626962923,0.09173405674746007,0.003432235985363121,0.17579872651352413,0.054460022997730666,0.0025922042039062676,0.0023771586677109146,0.002268530568048462,0.11828487323085204,0.11261190138761965,0.06695471115315464,0.12654575014055405,0.001983038872190896,0.005841945535636656,0.013408477065230016,0.03163604359509293,0.03701103051238887,0.048531411274729735,0.1441851164040477,0.12555406033169697,0.0476565901921707,0.0029982596991328697,0.16662694135038308,0.004700518504910167,0.10410285197084755,0.023814882291037575,0.006157402927213395,0.01711920943834488,0.0032296739569882783,0.0021298006520801367,0.002984196651077048,0.0015065613487846873,0.002629855752470791,0.0916228789108723,0.09507577878528876,0.074288444369551,0.0018005051959818221,0.11509968738958126,0.0050585155974203246,0.0001425272574573084,0.001974152891995988,0.0009719246963144841,0.02159643501873869,0.07530377734990219,0.10353620118803557,0.1399849360569859,0.0882231041877483,0.123418244765679,0.08722550369723527,0.006392250083402068,0.14558124538481876,0.17725352220239501,0.024568338797547308,0.07690225461523192,0.032677586187619005,0.04837861535143867,0.12299771632633326,0.0002144837178594218,0.0007387233117680104,0.10801977759652817,0.11621601777753483,0.11664212315033624,0.08785260944504986,0.1586410142819971,0.0063795408372935665,0.05641812003756518,0.0017655680100950224,0.09633615738813507,0.015788848847266165,0.12551177905559727,0.04815054643646805,0.1031203508070158,0.004844326546235105,0.018449176939070177,0.003960276398216875,0.004446376697646816,0.1127280887314533,0.0007340602817769646,0.10776243880810296,0.11466344882990792,0.0007974574747518446,0.001597595428261286,0.012577579891423538,0.00292310713676767,0.00386392004073191,0.11458015299988215,2.3724579082600765e-05,0.0876141991946235,0.0018659466227407711,0.08787177996188028,0.06668522144239655,0.06469846990626296,0.002387974691908188,0.5065968469292974,0.02771429508809116,0.11282401517122147,1.1529191993534138,0.04134442564243582,0.444140499165458,0.8588272847004106,0.41283158934929,1.0393150938848212,1.5961029405217213
9,0.026879767217589026,0.060754801585027204,0.051123778149566694,0.0004720060185849219,0.005160217138572289,0.03629140871969341,0.04352204713221256,0.006229188620052652,0.15474389056876722,0.0021566205597389,0.06054946393043075,0.058202248956130416,0.09824328816965644,0.11591326362117528,0.12664343294588,0.0006629649375389676,0.002240234327433467,0.10317572640439512,0.09173405701199179,0.0034322364763769236,0.17579872720998838,0.05446002306457027,0.0025922049058343913,0.0023771592351994955,0.002268530927424952,0.11828487384833744,0.11261190232324964,0.06695471134284615,0.12654575070151272,0.0019830394599422768,0.0058419461355686784,0.01340847717057601,0.03163604451304913,0.0370110314840085,0.048531411931741604,0.14418511677238444,0.12555406101315514,0.047656590427078656,0.002998259702639709,0.1666269420525698,0.004700518584698316,0.10410285239801127,0.02381488288383861,0.006157403230042333,0.017119209634571805,0.003229674631496701,0.0021298008151642562,0.00298419682474433,0.0015065614644222877,0.0026298562583322582,0.09162287911918633,0.09507577973805267,0.07428844508464326,0.0018005055628620601,0.11509968801883216,0.005058515701240887,0.00014252794651845832,0.001974153377842228,0.0009719253959957959,0.02159643538120404,0.07530377737902505,0.10353620184177482,0.139984936708584,0.08822310478796347,0.12341824510990135,0.08722550447036476,0.006392250218651444,0.14558124633264358,0.17725352307106526,0.024568339091255498,0.07690225544236659,0.032677586787968706,0.04837861542070711,0.12299771729635665,0.0002144846824853764,0.0007387240176767709,0.10801977839198756,0.11621601808347083,0.11664212365966821,0.08785260988636308,0.15864101479506784,0.006379541226196991,0.05641812017520289,0.0017655680890852731,0.09633615743574857,0.01578884941132657,0.12551177922398157,0.04815054730699195,0.10312035145627993,0.004844327189453251,0.01844917703396092,0.00396027732286972,0.004446377452476134,0.11272808873743943,0.0007340612516368031,0.10776243890043032,0.11466344886371868,0.0007974583582191911,0.001597595793668887,0.012577580544238015,0.0029231080411954366,0.0038639207677456616,0.11458015300675609,2.372503568854927e-05,0.08761419943816046,0.0018659472811310696,0.08787178066928071,0.06668522243942127,0.064698470067947,0.0023879755682263445,0.506596847336787,0.02771429564391616,0.11282401602680567,1.1529191999059412,0.04134442609934993,0.4441404997736966,0.8588272855892114,0.4128315901672905,1.0393150943021425,1.5961029410617809
